Dia;Producto;Latitud;Longitud;PVP;VentasN;Nombre;Day;Month;Year;Weekday;Fiesta
07/04/2016;GOA;43,31748953;-8,47923782;1,004;0,605211958;ES4;7;abril;2016;Jueves;
08/04/2016;95;43,31748953;-8,47923782;1,164;0,12198415;ES4;8;abril;2016;Viernes;
08/04/2016;GOA;43,31748953;-8,47923782;0,994;0,630736733;ES4;8;abril;2016;Viernes;
09/04/2016;95;43,31748953;-8,47923782;1,164;0,193293893;ES4;9;abril;2016;Sabado;
09/04/2016;GOA;43,31748953;-8,47923782;0,994;0,560142655;ES4;9;abril;2016;Sabado;
10/04/2016;95;43,31748953;-8,47923782;1,164;0,137286929;ES4;10;abril;2016;Domingo;
10/04/2016;GOA;43,31748953;-8,47923782;0,994;0,41294593;ES4;10;abril;2016;Domingo;
11/04/2016;95;43,31748953;-8,47923782;1,164;0,146165713;ES4;11;abril;2016;Lunes;
11/04/2016;GOA;43,31748953;-8,47923782;0,994;0,545303138;ES4;11;abril;2016;Lunes;
12/04/2016;95;43,31748953;-8,47923782;1,174;0,127929146;ES4;12;abril;2016;Martes;
12/04/2016;GOA;43,31748953;-8,47923782;0,994;0,581060607;ES4;12;abril;2016;Martes;
13/04/2016;95;43,31748953;-8,47923782;1,194;0,123820836;ES4;13;abril;2016;Miercoles;
13/04/2016;GOA;43,31748953;-8,47923782;1,004;0,445569451;ES4;13;abril;2016;Miercoles;
14/04/2016;95;43,31748953;-8,47923782;1,214;0,12581425;ES4;14;abril;2016;Jueves;
14/04/2016;GOA;43,31748953;-8,47923782;1,024;0,508060836;ES4;14;abril;2016;Jueves;
15/04/2016;95;43,31748953;-8,47923782;1,214;0,127965653;ES4;15;abril;2016;Viernes;
15/04/2016;GOA;43,31748953;-8,47923782;1,034;0,538459941;ES4;15;abril;2016;Viernes;
16/04/2016;95;43,31748953;-8,47923782;1,224;0,194190835;ES4;16;abril;2016;Sabado;
16/04/2016;GOA;43,31748953;-8,47923782;1,034;0,488803957;ES4;16;abril;2016;Sabado;
17/04/2016;95;43,31748953;-8,47923782;1,224;0,167579659;ES4;17;abril;2016;Domingo;
17/04/2016;GOA;43,31748953;-8,47923782;1,034;0,416208282;ES4;17;abril;2016;Domingo;
18/04/2016;95;43,31748953;-8,47923782;1,224;0,124056873;ES4;18;abril;2016;Lunes;Jueves Santo
18/04/2016;GOA;43,31748953;-8,47923782;1,034;0,493646187;ES4;18;abril;2016;Lunes;Jueves Santo
19/04/2016;95;43,31748953;-8,47923782;1,214;0,117513286;ES4;19;abril;2016;Martes;
19/04/2016;GOA;43,31748953;;1,044;0,485940666;ES4;19;abril;2016;Martes;
